datetime,pm1,pm25,relativehumidity,temperature,um003,hour,day,month,day_of_week,pm25_rolling,pm25_lag1,future_pm25
2025-11-27 17:00:00+00:00,0.06,0.34,65.1,25.5,178.84,17,27,11,3,2.8666666666666667,4.4,6.11
2025-11-27 18:00:00+00:00,2.24,6.11,74.39,23.32,364.32,18,27,11,3,3.616666666666667,0.34,2.54
2025-11-27 19:00:00+00:00,0.52,2.54,66.91,25.04,265.22,19,27,11,3,2.9966666666666666,6.11,7.24
2025-11-27 20:00:00+00:00,2.92,7.24,66.58,25.05,404.01,20,27,11,3,5.296666666666667,2.54,17.92
2025-11-27 21:00:00+00:00,9.22,17.92,66.68,25.19,679.72,21,27,11,3,9.233333333333334,7.24,8.35
2025-11-27 22:00:00+00:00,3.89,8.35,70.04,24.39,451.86,22,27,11,3,11.170000000000002,17.92,7.84
2025-11-27 23:00:00+00:00,3.76,7.84,73.91,23.82,448.55,23,27,11,3,11.37,8.35,2.68
2025-11-28 00:00:00+00:00,0.73,2.68,72.35,24.34,281.88,0,28,11,4,6.29,7.84,5.86
2025-11-28 01:00:00+00:00,3.13,5.86,68.47,25.42,415.37,1,28,11,4,5.460000000000001,2.68,5.11
2025-11-28 02:00:00+00:00,2.58,5.11,63.67,26.63,369.04,2,28,11,4,4.550000000000001,5.86,3.47
2025-11-28 03:00:00+00:00,1.38,3.47,60.48,27.25,320.21,3,28,11,4,4.8133333333333335,5.11,3.44
2025-11-28 04:00:00+00:00,1.62,3.44,60.58,27.55,325.66,4,28,11,4,4.006666666666667,3.47,1.31
2025-11-28 05:00:00+00:00,0.15,1.31,56.26,28.32,232.12,5,28,11,4,2.74,3.44,1.81
2025-11-28 06:00:00+00:00,0.51,1.81,57.66,27.81,257.21,6,28,11,4,2.1866666666666665,1.31,3.08
2025-11-28 07:00:00+00:00,0.95,3.08,57.79,27.69,304.33,7,28,11,4,2.066666666666667,1.81,4.24
2025-11-28 08:00:00+00:00,1.47,4.24,59.12,27.3,338.6,8,28,11,4,3.0433333333333334,3.08,11.32
2025-11-28 09:00:00+00:00,6.28,11.32,58.96,26.94,579.22,9,28,11,4,6.213333333333334,4.24,5.38
2025-11-28 10:00:00+00:00,2.59,5.38,62.3,25.69,378.23,10,28,11,4,6.98,11.32,4.89
2025-11-28 11:00:00+00:00,2.19,4.89,65.53,25.1,363.1,11,28,11,4,7.196666666666668,5.38,4.82
2025-11-28 12:00:00+00:00,2.13,4.82,66.09,24.85,367.35,12,28,11,4,5.03,4.89,5.08
2025-11-28 13:00:00+00:00,2.61,5.08,64.97,25.31,384.14,13,28,11,4,4.930000000000001,4.82,4.55
2025-11-28 14:00:00+00:00,2.03,4.55,65.5,25.03,359.2,14,28,11,4,4.816666666666666,5.08,6.56
2025-11-28 15:00:00+00:00,3.63,6.56,66.58,24.86,439.2,15,28,11,4,5.396666666666666,4.55,9.65
2025-11-28 16:00:00+00:00,5.59,9.65,66.63,24.74,540.58,16,28,11,4,6.919999999999999,6.56,17.55
2025-11-28 17:00:00+00:00,8.43,17.55,67.06,24.68,689.61,17,28,11,4,11.253333333333336,9.65,24.15
